userid,education,region,hhsz,age,income,child,race,country,barnesandnoble_purchases
11443031,4.0,1.0,2,11.0,4,1,1,0,0.0
11519009,,2.0,3,5.0,3,1,2,0,0.0
11550824,,4.0,3,6.0,7,1,1,1,0.0
12650861,4.0,1.0,5,7.0,6,1,1,0,12.0
12856796,,2.0,1,6.0,1,0,1,0,0.0
12879242,,,5,7.0,2,0,1,0,0.0
12941587,4.0,4.0,4,8.0,6,1,1,0,0.0
13068697,2.0,4.0,1,7.0,2,0,1,0,0.0
13503636,4.0,3.0,4,8.0,7,1,1,1,4.0
13586673,,1.0,4,10.0,6,1,1,0,0.0
13649364,,1.0,3,4.0,5,0,1,1,0.0
13680594,4.0,2.0,2,10.0,5,0,1,1,0.0
13743146,,3.0,2,10.0,5,1,1,0,0.0
13851582,,3.0,4,6.0,4,1,1,1,0.0
13875239,2.0,1.0,1,5.0,6,0,1,1,0.0
14458751,,3.0,4,7.0,6,1,1,0,0.0
14530124,,1.0,1,9.0,5,0,1,0,0.0
14538858,,4.0,2,6.0,5,0,1,0,0.0
14554971,,3.0,3,5.0,1,1,1,0,0.0
14559596,,4.0,2,10.0,5,1,1,0,13.0
14584723,,1.0,4,10.0,7,1,1,0,0.0
14594414,1.0,3.0,3,8.0,7,1,1,0,1.0
14621501,,1.0,2,6.0,3,0,1,0,4.0
14626094,,2.0,2,9.0,2,0,1,0,2.0
14713089,,3.0,4,7.0,7,1,1,0,0.0
14736058,,4.0,3,9.0,7,1,1,1,0.0
14758017,1.0,1.0,2,8.0,7,0,1,0,1.0
14765573,,4.0,2,8.0,2,0,1,0,0.0
14775815,2.0,3.0,3,9.0,1,1,1,0,0.0
14796973,,1.0,2,3.0,3,0,1,0,3.0
14952817,,4.0,3,11.0,3,1,1,0,0.0
14953899,4.0,3.0,3,2.0,6,1,1,0,0.0
15051798,,1.0,3,6.0,6,1,1,1,4.0
15056263,,4.0,2,8.0,1,0,1,0,0.0
15212674,,3.0,2,11.0,1,0,1,0,0.0
15253225,,4.0,3,5.0,7,1,1,0,0.0
15322794,,4.0,5,4.0,1,1,1,0,2.0
15349991,4.0,1.0,4,5.0,3,1,1,0,0.0
15434531,,1.0,5,7.0,4,0,1,0,0.0
15467685,1.0,4.0,6,7.0,6,1,1,0,1.0
15549058,4.0,2.0,3,3.0,5,1,1,0,0.0
15558047,,2.0,3,10.0,5,1,1,0,0.0
15565426,,3.0,3,10.0,5,1,1,0,1.0
15607347,4.0,3.0,2,7.0,7,1,1,0,0.0
6631403,5.0,3.0,1,10.0,3,0,1,1,0.0
10260094,,3.0,3,7.0,5,1,1,0,0.0
10571927,,3.0,5,9.0,5,1,1,0,0.0
10735179,,1.0,2,9.0,6,1,1,0,0.0
10736888,,2.0,4,6.0,4,1,1,1,2.0
11432820,,2.0,3,9.0,2,1,2,1,1.0
11525895,2.0,1.0,4,7.0,5,1,1,0,0.0
12083644,4.0,4.0,6,7.0,7,1,1,0,2.0
12494194,,4.0,4,4.0,5,1,1,0,0.0
12604125,,3.0,5,9.0,5,1,1,0,0.0
12774277,,4.0,2,6.0,7,0,1,1,2.0
12937722,,4.0,4,10.0,6,1,1,0,0.0
12954474,,1.0,4,8.0,6,1,1,0,5.0
12995365,,2.0,2,9.0,5,1,1,0,5.0
12997968,,4.0,2,7.0,7,1,1,0,1.0
13001870,,2.0,2,7.0,4,0,1,1,0.0
13074231,,3.0,3,11.0,5,1,1,0,1.0
13075355,,3.0,6,4.0,4,1,1,0,39.0
13106187,2.0,3.0,5,7.0,7,1,1,1,4.0
13311956,,3.0,1,6.0,4,0,1,0,0.0
13346861,,4.0,3,3.0,5,1,1,0,0.0
13370111,,3.0,4,8.0,7,1,1,0,4.0
13424056,4.0,2.0,4,8.0,5,1,1,0,0.0
13520856,2.0,2.0,2,3.0,1,0,1,0,5.0
13646398,,1.0,4,9.0,3,1,1,0,0.0
13758129,,3.0,4,11.0,5,1,1,0,19.0
13784980,1.0,2.0,4,11.0,1,1,1,0,0.0
13969107,,2.0,2,11.0,4,1,1,0,2.0
14031569,,1.0,2,4.0,7,0,1,0,0.0
14222141,,3.0,2,10.0,1,1,1,0,0.0
14316905,,4.0,2,8.0,7,0,1,1,0.0
14360997,,3.0,3,10.0,7,1,1,0,1.0
14442116,,1.0,2,7.0,3,0,1,1,4.0
14521029,,3.0,3,11.0,6,1,1,0,0.0
14526161,,1.0,4,8.0,5,1,1,0,1.0
14573280,,1.0,3,11.0,1,1,1,0,1.0
14587812,5.0,4.0,2,10.0,6,0,1,0,0.0
14596145,,4.0,2,6.0,7,0,1,0,0.0
14606799,,3.0,4,8.0,4,1,1,0,15.0
14691794,,2.0,5,9.0,7,1,1,0,0.0
14705577,,3.0,5,7.0,7,1,1,0,0.0
14807954,,4.0,2,7.0,1,0,1,0,0.0
14825983,,3.0,3,8.0,1,1,1,0,0.0
14898473,4.0,1.0,6,11.0,5,1,1,0,2.0
